date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:35	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:35%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-bg_gloss-wave_50_6eac2c_500x100.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-bg_gloss-wave_50_6eac2c_500x100.10.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:35	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:35%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-bg_glass_55_f8da4e_1x400.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-bg_glass_55_f8da4e_1x400.11.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:35	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:35%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-bg_gloss-wave_45_e14f1c_500x100.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-bg_gloss-wave_45_e14f1c_500x100.12.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:36%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_0078ae_256x240.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_0078ae_256x240.13.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:36%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_d8e7f3_256x240.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_d8e7f3_256x240.14.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:36%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_e0fdff_256x240.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_e0fdff_256x240.15.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:36%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_056b93_256x240.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_056b93_256x240.16.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:37	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:37%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_f5e175_256x240.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_f5e175_256x240.17.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:37	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:37%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_f7a50d_256x240.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_f7a50d_256x240.18.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
19:27:37	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2011:27:37%20GMT	http://sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_fcd113_256x240.png	C:/wamp64/www/httrack/sisken/sisken/sisken-mpsp.mpsp.gov.my/Content/images/ui-icons_fcd113_256x240.19.delayed	(from http://sisken-mpsp.mpsp.gov.my/Content/bootstrap?v=HGlVZMSY80CRf54U0waMf7n_VMfT7CHFBTctLdfeVH81)
