date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:18:20	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:22%20GMT	https://github.com/firstopinion/formatter.js/compare/mfpbbr:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mfpbbr_master...81e.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:21	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:23%20GMT	https://github.com/firstopinion/formatter.js/compare/mimo84:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mimo84_master...81f.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:22	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:25%20GMT	https://github.com/firstopinion/formatter.js/compare/mjs330:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mjs330_master...820.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:23	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:26%20GMT	https://github.com/firstopinion/formatter.js/compare/mkginfo:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mkginfo_master...821.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:25	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:27%20GMT	https://github.com/firstopinion/formatter.js/compare/mort3za:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mort3za_master...822.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:26	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:28%20GMT	https://github.com/firstopinion/formatter.js/compare/movibe:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/movibe_master...823.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:27	148/148	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:30%20GMT	https://github.com/firstopinion/formatter.js/compare/mrantonwinter:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mrantonwinter_master...824.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:28	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:31%20GMT	https://github.com/firstopinion/formatter.js/compare/mubinov:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mubinov_master...825.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:30	149/149	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:32%20GMT	https://github.com/firstopinion/formatter.js/compare/muffinresearch:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/muffinresearch_master...826.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:31	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:33%20GMT	https://github.com/firstopinion/formatter.js/compare/mugetsu:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mugetsu_master...827.delayed	(from https://github.com/firstopinion/formatter.js/compare)
